Species	Date collected	plot	sex	weight	unit of measure	scale calibration	field season
DM	2013-07-16	2	F	Null	Null	yes	2013
DM	2013-07-16	7	M	33	g	yes	2013
DM	2013-07-16	3	M	Null	Null	Null	2013
DM	2013-07-16	1	M	Null	Null	Null	2013
DM	2013-07-18	3	M	40	g	yes	2013
DM	2013-07-18	7	M	48	g	yes	2013
DM	2013-07-18	4	F	29	g	yes	2013
DM	2013-07-18	6	F	37	g	yes	2013
DM	2014-01-09	1	M	40	g	yes	2014
DM	2014-01-09	1	F	36	g	yes	2014
DM	2014-03-13	1	F	51	g	yes	2014
DM	2014-03-13	1	F	44	g	yes	2014
DM	2014-01-08	2	M	44	g	yes	2014
DM	2014-01-08	2	M	45	g	yes	2014
DM	2014-02-18	2	m	52	g	yes	2014
DM	1978-01-08	4	F	37	g	yes	2014
DM	1978-01-08	4	M	Null	Null	Null	2014
DM	1978-01-08	4	F	48	g	yes	2014
DO	2013-08-19	8	F	52	g	yes	2013
DO	2013-10-17	3	F	33	g	yes	2013
DO	2013-10-17	3	F	50	g	yes	2013
DO	2013-12-10	9	F	40	g	yes	2013
DO	2013-12-10	1	M	45	g	yes	2013
DO	2013-12-11	8	F	41	g	yes	2013
DO	1978-01-08	4	M	52	g	yes	2014
DS	2013-08-19	9	F	117	g	yes	2013
DS	2013-10-17	11	F	126	g	yes	2013
DS	2013-10-17	17	M	132	g	no	2013
DS	2013-12-10	14	F	113	g	no	2013
DS	2013-12-10	11	F	122	g	yes	2013
DS	2013-12-11	4	F	107	g	yes	2013
DS	2013-11-13	4	F	115	g	yes	2013
DS	2014-03-13	1	F	146	g	yes	2014
DS	2014-01-08	2	M	157	g	no	2014
NA	2014-01-08	2	Null	Null	Null	Null	2014
NA	2014-02-18	2	M	218	g	no	2014
NA	2014-04-08	3	F	Null	Null	Null	2014
NA	2014-05-18	3	F	182	g	yes	2014
NA	2014-07-08	3	F	115	g	yes	2014
NA	2014-07-09	3	M	190	g	yes	2014
OL	1978-01-08	4	M	35	g	yes	2014
OT	2014-01-08	2	Null	Null	Null	Null	2014
OT	2014-06-09	3	F	29	g	yes	2014
OX	2014-01-08	2	Null	Null	Null	Null	2014
PF	2014-01-08	2	F	7	g	yes	2014
PF	2014-02-18	2	F	7	g	yes	2014
